session_date,open_utc,close_utc,open_et,close_et,is_early_close,year,month,dow,calendar,timezone
2017-01-03,2017-01-03T14:30:00+0000,2017-01-03T21:00:00+0000,2017-01-03T09:30:00-0500,2017-01-03T16:00:00-0500,False,2017,1,Tuesday,XNYS,America/New_York
2017-01-04,2017-01-04T14:30:00+0000,2017-01-04T21:00:00+0000,2017-01-04T09:30:00-0500,2017-01-04T16:00:00-0500,False,2017,1,Wednesday,XNYS,America/New_York
2017-01-05,2017-01-05T14:30:00+0000,2017-01-05T21:00:00+0000,2017-01-05T09:30:00-0500,2017-01-05T16:00:00-0500,False,2017,1,Thursday,XNYS,America/New_York
2017-01-06,2017-01-06T14:30:00+0000,2017-01-06T21:00:00+0000,2017-01-06T09:30:00-0500,2017-01-06T16:00:00-0500,False,2017,1,Friday,XNYS,America/New_York
2017-01-09,2017-01-09T14:30:00+0000,2017-01-09T21:00:00+0000,2017-01-09T09:30:00-0500,2017-01-09T16:00:00-0500,False,2017,1,Monday,XNYS,America/New_York
2017-01-10,2017-01-10T14:30:00+0000,2017-01-10T21:00:00+0000,2017-01-10T09:30:00-0500,2017-01-10T16:00:00-0500,False,2017,1,Tuesday,XNYS,America/New_York
2017-01-11,2017-01-11T14:30:00+0000,2017-01-11T21:00:00+0000,2017-01-11T09:30:00-0500,2017-01-11T16:00:00-0500,False,2017,1,Wednesday,XNYS,America/New_York
2017-01-12,2017-01-12T14:30:00+0000,2017-01-12T21:00:00+0000,2017-01-12T09:30:00-0500,2017-01-12T16:00:00-0500,False,2017,1,Thursday,XNYS,America/New_York
2017-01-13,2017-01-13T14:30:00+0000,2017-01-13T21:00:00+0000,2017-01-13T09:30:00-0500,2017-01-13T16:00:00-0500,False,2017,1,Friday,XNYS,America/New_York
2017-01-17,2017-01-17T14:30:00+0000,2017-01-17T21:00:00+0000,2017-01-17T09:30:00-0500,2017-01-17T16:00:00-0500,False,2017,1,Tuesday,XNYS,America/New_York
2017-01-18,2017-01-18T14:30:00+0000,2017-01-18T21:00:00+0000,2017-01-18T09:30:00-0500,2017-01-18T16:00:00-0500,False,2017,1,Wednesday,XNYS,America/New_York
2017-01-19,2017-01-19T14:30:00+0000,2017-01-19T21:00:00+0000,2017-01-19T09:30:00-0500,2017-01-19T16:00:00-0500,False,2017,1,Thursday,XNYS,America/New_York
2017-01-20,2017-01-20T14:30:00+0000,2017-01-20T21:00:00+0000,2017-01-20T09:30:00-0500,2017-01-20T16:00:00-0500,False,2017,1,Friday,XNYS,America/New_York
2017-01-23,2017-01-23T14:30:00+0000,2017-01-23T21:00:00+0000,2017-01-23T09:30:00-0500,2017-01-23T16:00:00-0500,False,2017,1,Monday,XNYS,America/New_York
2017-01-24,2017-01-24T14:30:00+0000,2017-01-24T21:00:00+0000,2017-01-24T09:30:00-0500,2017-01-24T16:00:00-0500,False,2017,1,Tuesday,XNYS,America/New_York
2017-01-25,2017-01-25T14:30:00+0000,2017-01-25T21:00:00+0000,2017-01-25T09:30:00-0500,2017-01-25T16:00:00-0500,False,2017,1,Wednesday,XNYS,America/New_York
2017-01-26,2017-01-26T14:30:00+0000,2017-01-26T21:00:00+0000,2017-01-26T09:30:00-0500,2017-01-26T16:00:00-0500,False,2017,1,Thursday,XNYS,America/New_York
2017-01-27,2017-01-27T14:30:00+0000,2017-01-27T21:00:00+0000,2017-01-27T09:30:00-0500,2017-01-27T16:00:00-0500,False,2017,1,Friday,XNYS,America/New_York
2017-01-30,2017-01-30T14:30:00+0000,2017-01-30T21:00:00+0000,2017-01-30T09:30:00-0500,2017-01-30T16:00:00-0500,False,2017,1,Monday,XNYS,America/New_York
2017-01-31,2017-01-31T14:30:00+0000,2017-01-31T21:00:00+0000,2017-01-31T09:30:00-0500,2017-01-31T16:00:00-0500,False,2017,1,Tuesday,XNYS,America/New_York
2017-02-01,2017-02-01T14:30:00+0000,2017-02-01T21:00:00+0000,2017-02-01T09:30:00-0500,2017-02-01T16:00:00-0500,False,2017,2,Wednesday,XNYS,America/New_York
2017-02-02,2017-02-02T14:30:00+0000,2017-02-02T21:00:00+0000,2017-02-02T09:30:00-0500,2017-02-02T16:00:00-0500,False,2017,2,Thursday,XNYS,America/New_York
2017-02-03,2017-02-03T14:30:00+0000,2017-02-03T21:00:00+0000,2017-02-03T09:30:00-0500,2017-02-03T16:00:00-0500,False,2017,2,Friday,XNYS,America/New_York
2017-02-06,2017-02-06T14:30:00+0000,2017-02-06T21:00:00+0000,2017-02-06T09:30:00-0500,2017-02-06T16:00:00-0500,False,2017,2,Monday,XNYS,America/New_York
2017-02-07,2017-02-07T14:30:00+0000,2017-02-07T21:00:00+0000,2017-02-07T09:30:00-0500,2017-02-07T16:00:00-0500,False,2017,2,Tuesday,XNYS,America/New_York
2017-02-08,2017-02-08T14:30:00+0000,2017-02-08T21:00:00+0000,2017-02-08T09:30:00-0500,2017-02-08T16:00:00-0500,False,2017,2,Wednesday,XNYS,America/New_York
2017-02-09,2017-02-09T14:30:00+0000,2017-02-09T21:00:00+0000,2017-02-09T09:30:00-0500,2017-02-09T16:00:00-0500,False,2017,2,Thursday,XNYS,America/New_York
2017-02-10,2017-02-10T14:30:00+0000,2017-02-10T21:00:00+0000,2017-02-10T09:30:00-0500,2017-02-10T16:00:00-0500,False,2017,2,Friday,XNYS,America/New_York
2017-02-13,2017-02-13T14:30:00+0000,2017-02-13T21:00:00+0000,2017-02-13T09:30:00-0500,2017-02-13T16:00:00-0500,False,2017,2,Monday,XNYS,America/New_York
2017-02-14,2017-02-14T14:30:00+0000,2017-02-14T21:00:00+0000,2017-02-14T09:30:00-0500,2017-02-14T16:00:00-0500,False,2017,2,Tuesday,XNYS,America/New_York
2017-02-15,2017-02-15T14:30:00+0000,2017-02-15T21:00:00+0000,2017-02-15T09:30:00-0500,2017-02-15T16:00:00-0500,False,2017,2,Wednesday,XNYS,America/New_York
2017-02-16,2017-02-16T14:30:00+0000,2017-02-16T21:00:00+0000,2017-02-16T09:30:00-0500,2017-02-16T16:00:00-0500,False,2017,2,Thursday,XNYS,America/New_York
2017-02-17,2017-02-17T14:30:00+0000,2017-02-17T21:00:00+0000,2017-02-17T09:30:00-0500,2017-02-17T16:00:00-0500,False,2017,2,Friday,XNYS,America/New_York
2017-02-21,2017-02-21T14:30:00+0000,2017-02-21T21:00:00+0000,2017-02-21T09:30:00-0500,2017-02-21T16:00:00-0500,False,2017,2,Tuesday,XNYS,America/New_York
2017-02-22,2017-02-22T14:30:00+0000,2017-02-22T21:00:00+0000,2017-02-22T09:30:00-0500,2017-02-22T16:00:00-0500,False,2017,2,Wednesday,XNYS,America/New_York
2017-02-23,2017-02-23T14:30:00+0000,2017-02-23T21:00:00+0000,2017-02-23T09:30:00-0500,2017-02-23T16:00:00-0500,False,2017,2,Thursday,XNYS,America/New_York
2017-02-24,2017-02-24T14:30:00+0000,2017-02-24T21:00:00+0000,2017-02-24T09:30:00-0500,2017-02-24T16:00:00-0500,False,2017,2,Friday,XNYS,America/New_York
2017-02-27,2017-02-27T14:30:00+0000,2017-02-27T21:00:00+0000,2017-02-27T09:30:00-0500,2017-02-27T16:00:00-0500,False,2017,2,Monday,XNYS,America/New_York
2017-02-28,2017-02-28T14:30:00+0000,2017-02-28T21:00:00+0000,2017-02-28T09:30:00-0500,2017-02-28T16:00:00-0500,False,2017,2,Tuesday,XNYS,America/New_York
2017-03-01,2017-03-01T14:30:00+0000,2017-03-01T21:00:00+0000,2017-03-01T09:30:00-0500,2017-03-01T16:00:00-0500,False,2017,3,Wednesday,XNYS,America/New_York
2017-03-02,2017-03-02T14:30:00+0000,2017-03-02T21:00:00+0000,2017-03-02T09:30:00-0500,2017-03-02T16:00:00-0500,False,2017,3,Thursday,XNYS,America/New_York
2017-03-03,2017-03-03T14:30:00+0000,2017-03-03T21:00:00+0000,2017-03-03T09:30:00-0500,2017-03-03T16:00:00-0500,False,2017,3,Friday,XNYS,America/New_York
2017-03-06,2017-03-06T14:30:00+0000,2017-03-06T21:00:00+0000,2017-03-06T09:30:00-0500,2017-03-06T16:00:00-0500,False,2017,3,Monday,XNYS,America/New_York
2017-03-07,2017-03-07T14:30:00+0000,2017-03-07T21:00:00+0000,2017-03-07T09:30:00-0500,2017-03-07T16:00:00-0500,False,2017,3,Tuesday,XNYS,America/New_York
2017-03-08,2017-03-08T14:30:00+0000,2017-03-08T21:00:00+0000,2017-03-08T09:30:00-0500,2017-03-08T16:00:00-0500,False,2017,3,Wednesday,XNYS,America/New_York
2017-03-09,2017-03-09T14:30:00+0000,2017-03-09T21:00:00+0000,2017-03-09T09:30:00-0500,2017-03-09T16:00:00-0500,False,2017,3,Thursday,XNYS,America/New_York
2017-03-10,2017-03-10T14:30:00+0000,2017-03-10T21:00:00+0000,2017-03-10T09:30:00-0500,2017-03-10T16:00:00-0500,False,2017,3,Friday,XNYS,America/New_York
2017-03-13,2017-03-13T13:30:00+0000,2017-03-13T20:00:00+0000,2017-03-13T09:30:00-0400,2017-03-13T16:00:00-0400,False,2017,3,Monday,XNYS,America/New_York
2017-03-14,2017-03-14T13:30:00+0000,2017-03-14T20:00:00+0000,2017-03-14T09:30:00-0400,2017-03-14T16:00:00-0400,False,2017,3,Tuesday,XNYS,America/New_York
2017-03-15,2017-03-15T13:30:00+0000,2017-03-15T20:00:00+0000,2017-03-15T09:30:00-0400,2017-03-15T16:00:00-0400,False,2017,3,Wednesday,XNYS,America/New_York
2017-03-16,2017-03-16T13:30:00+0000,2017-03-16T20:00:00+0000,2017-03-16T09:30:00-0400,2017-03-16T16:00:00-0400,False,2017,3,Thursday,XNYS,America/New_York
2017-03-17,2017-03-17T13:30:00+0000,2017-03-17T20:00:00+0000,2017-03-17T09:30:00-0400,2017-03-17T16:00:00-0400,False,2017,3,Friday,XNYS,America/New_York
2017-03-20,2017-03-20T13:30:00+0000,2017-03-20T20:00:00+0000,2017-03-20T09:30:00-0400,2017-03-20T16:00:00-0400,False,2017,3,Monday,XNYS,America/New_York
2017-03-21,2017-03-21T13:30:00+0000,2017-03-21T20:00:00+0000,2017-03-21T09:30:00-0400,2017-03-21T16:00:00-0400,False,2017,3,Tuesday,XNYS,America/New_York
2017-03-22,2017-03-22T13:30:00+0000,2017-03-22T20:00:00+0000,2017-03-22T09:30:00-0400,2017-03-22T16:00:00-0400,False,2017,3,Wednesday,XNYS,America/New_York
2017-03-23,2017-03-23T13:30:00+0000,2017-03-23T20:00:00+0000,2017-03-23T09:30:00-0400,2017-03-23T16:00:00-0400,False,2017,3,Thursday,XNYS,America/New_York
2017-03-24,2017-03-24T13:30:00+0000,2017-03-24T20:00:00+0000,2017-03-24T09:30:00-0400,2017-03-24T16:00:00-0400,False,2017,3,Friday,XNYS,America/New_York
2017-03-27,2017-03-27T13:30:00+0000,2017-03-27T20:00:00+0000,2017-03-27T09:30:00-0400,2017-03-27T16:00:00-0400,False,2017,3,Monday,XNYS,America/New_York
2017-03-28,2017-03-28T13:30:00+0000,2017-03-28T20:00:00+0000,2017-03-28T09:30:00-0400,2017-03-28T16:00:00-0400,False,2017,3,Tuesday,XNYS,America/New_York
2017-03-29,2017-03-29T13:30:00+0000,2017-03-29T20:00:00+0000,2017-03-29T09:30:00-0400,2017-03-29T16:00:00-0400,False,2017,3,Wednesday,XNYS,America/New_York
2017-03-30,2017-03-30T13:30:00+0000,2017-03-30T20:00:00+0000,2017-03-30T09:30:00-0400,2017-03-30T16:00:00-0400,False,2017,3,Thursday,XNYS,America/New_York
2017-03-31,2017-03-31T13:30:00+0000,2017-03-31T20:00:00+0000,2017-03-31T09:30:00-0400,2017-03-31T16:00:00-0400,False,2017,3,Friday,XNYS,America/New_York
2017-04-03,2017-04-03T13:30:00+0000,2017-04-03T20:00:00+0000,2017-04-03T09:30:00-0400,2017-04-03T16:00:00-0400,False,2017,4,Monday,XNYS,America/New_York
2017-04-04,2017-04-04T13:30:00+0000,2017-04-04T20:00:00+0000,2017-04-04T09:30:00-0400,2017-04-04T16:00:00-0400,False,2017,4,Tuesday,XNYS,America/New_York
