session_date,open_utc,close_utc,open_et,close_et,is_early_close,year,month,dow,calendar,timezone
2025-01-02,2025-01-02T14:30:00+0000,2025-01-02T21:00:00+0000,2025-01-02T09:30:00-0500,2025-01-02T16:00:00-0500,False,2025,1,Thursday,XNYS,America/New_York
2025-01-03,2025-01-03T14:30:00+0000,2025-01-03T21:00:00+0000,2025-01-03T09:30:00-0500,2025-01-03T16:00:00-0500,False,2025,1,Friday,XNYS,America/New_York
2025-01-06,2025-01-06T14:30:00+0000,2025-01-06T21:00:00+0000,2025-01-06T09:30:00-0500,2025-01-06T16:00:00-0500,False,2025,1,Monday,XNYS,America/New_York
2025-01-07,2025-01-07T14:30:00+0000,2025-01-07T21:00:00+0000,2025-01-07T09:30:00-0500,2025-01-07T16:00:00-0500,False,2025,1,Tuesday,XNYS,America/New_York
2025-01-08,2025-01-08T14:30:00+0000,2025-01-08T21:00:00+0000,2025-01-08T09:30:00-0500,2025-01-08T16:00:00-0500,False,2025,1,Wednesday,XNYS,America/New_York
2025-01-10,2025-01-10T14:30:00+0000,2025-01-10T21:00:00+0000,2025-01-10T09:30:00-0500,2025-01-10T16:00:00-0500,False,2025,1,Friday,XNYS,America/New_York
2025-01-13,2025-01-13T14:30:00+0000,2025-01-13T21:00:00+0000,2025-01-13T09:30:00-0500,2025-01-13T16:00:00-0500,False,2025,1,Monday,XNYS,America/New_York
2025-01-14,2025-01-14T14:30:00+0000,2025-01-14T21:00:00+0000,2025-01-14T09:30:00-0500,2025-01-14T16:00:00-0500,False,2025,1,Tuesday,XNYS,America/New_York
2025-01-15,2025-01-15T14:30:00+0000,2025-01-15T21:00:00+0000,2025-01-15T09:30:00-0500,2025-01-15T16:00:00-0500,False,2025,1,Wednesday,XNYS,America/New_York
2025-01-16,2025-01-16T14:30:00+0000,2025-01-16T21:00:00+0000,2025-01-16T09:30:00-0500,2025-01-16T16:00:00-0500,False,2025,1,Thursday,XNYS,America/New_York
2025-01-17,2025-01-17T14:30:00+0000,2025-01-17T21:00:00+0000,2025-01-17T09:30:00-0500,2025-01-17T16:00:00-0500,False,2025,1,Friday,XNYS,America/New_York
2025-01-21,2025-01-21T14:30:00+0000,2025-01-21T21:00:00+0000,2025-01-21T09:30:00-0500,2025-01-21T16:00:00-0500,False,2025,1,Tuesday,XNYS,America/New_York
2025-01-22,2025-01-22T14:30:00+0000,2025-01-22T21:00:00+0000,2025-01-22T09:30:00-0500,2025-01-22T16:00:00-0500,False,2025,1,Wednesday,XNYS,America/New_York
2025-01-23,2025-01-23T14:30:00+0000,2025-01-23T21:00:00+0000,2025-01-23T09:30:00-0500,2025-01-23T16:00:00-0500,False,2025,1,Thursday,XNYS,America/New_York
2025-01-24,2025-01-24T14:30:00+0000,2025-01-24T21:00:00+0000,2025-01-24T09:30:00-0500,2025-01-24T16:00:00-0500,False,2025,1,Friday,XNYS,America/New_York
2025-01-27,2025-01-27T14:30:00+0000,2025-01-27T21:00:00+0000,2025-01-27T09:30:00-0500,2025-01-27T16:00:00-0500,False,2025,1,Monday,XNYS,America/New_York
2025-01-28,2025-01-28T14:30:00+0000,2025-01-28T21:00:00+0000,2025-01-28T09:30:00-0500,2025-01-28T16:00:00-0500,False,2025,1,Tuesday,XNYS,America/New_York
2025-01-29,2025-01-29T14:30:00+0000,2025-01-29T21:00:00+0000,2025-01-29T09:30:00-0500,2025-01-29T16:00:00-0500,False,2025,1,Wednesday,XNYS,America/New_York
2025-01-30,2025-01-30T14:30:00+0000,2025-01-30T21:00:00+0000,2025-01-30T09:30:00-0500,2025-01-30T16:00:00-0500,False,2025,1,Thursday,XNYS,America/New_York
2025-01-31,2025-01-31T14:30:00+0000,2025-01-31T21:00:00+0000,2025-01-31T09:30:00-0500,2025-01-31T16:00:00-0500,False,2025,1,Friday,XNYS,America/New_York
2025-02-03,2025-02-03T14:30:00+0000,2025-02-03T21:00:00+0000,2025-02-03T09:30:00-0500,2025-02-03T16:00:00-0500,False,2025,2,Monday,XNYS,America/New_York
2025-02-04,2025-02-04T14:30:00+0000,2025-02-04T21:00:00+0000,2025-02-04T09:30:00-0500,2025-02-04T16:00:00-0500,False,2025,2,Tuesday,XNYS,America/New_York
2025-02-05,2025-02-05T14:30:00+0000,2025-02-05T21:00:00+0000,2025-02-05T09:30:00-0500,2025-02-05T16:00:00-0500,False,2025,2,Wednesday,XNYS,America/New_York
2025-02-06,2025-02-06T14:30:00+0000,2025-02-06T21:00:00+0000,2025-02-06T09:30:00-0500,2025-02-06T16:00:00-0500,False,2025,2,Thursday,XNYS,America/New_York
2025-02-07,2025-02-07T14:30:00+0000,2025-02-07T21:00:00+0000,2025-02-07T09:30:00-0500,2025-02-07T16:00:00-0500,False,2025,2,Friday,XNYS,America/New_York
2025-02-10,2025-02-10T14:30:00+0000,2025-02-10T21:00:00+0000,2025-02-10T09:30:00-0500,2025-02-10T16:00:00-0500,False,2025,2,Monday,XNYS,America/New_York
2025-02-11,2025-02-11T14:30:00+0000,2025-02-11T21:00:00+0000,2025-02-11T09:30:00-0500,2025-02-11T16:00:00-0500,False,2025,2,Tuesday,XNYS,America/New_York
2025-02-12,2025-02-12T14:30:00+0000,2025-02-12T21:00:00+0000,2025-02-12T09:30:00-0500,2025-02-12T16:00:00-0500,False,2025,2,Wednesday,XNYS,America/New_York
2025-02-13,2025-02-13T14:30:00+0000,2025-02-13T21:00:00+0000,2025-02-13T09:30:00-0500,2025-02-13T16:00:00-0500,False,2025,2,Thursday,XNYS,America/New_York
2025-02-14,2025-02-14T14:30:00+0000,2025-02-14T21:00:00+0000,2025-02-14T09:30:00-0500,2025-02-14T16:00:00-0500,False,2025,2,Friday,XNYS,America/New_York
2025-02-18,2025-02-18T14:30:00+0000,2025-02-18T21:00:00+0000,2025-02-18T09:30:00-0500,2025-02-18T16:00:00-0500,False,2025,2,Tuesday,XNYS,America/New_York
2025-02-19,2025-02-19T14:30:00+0000,2025-02-19T21:00:00+0000,2025-02-19T09:30:00-0500,2025-02-19T16:00:00-0500,False,2025,2,Wednesday,XNYS,America/New_York
2025-02-20,2025-02-20T14:30:00+0000,2025-02-20T21:00:00+0000,2025-02-20T09:30:00-0500,2025-02-20T16:00:00-0500,False,2025,2,Thursday,XNYS,America/New_York
2025-02-21,2025-02-21T14:30:00+0000,2025-02-21T21:00:00+0000,2025-02-21T09:30:00-0500,2025-02-21T16:00:00-0500,False,2025,2,Friday,XNYS,America/New_York
2025-02-24,2025-02-24T14:30:00+0000,2025-02-24T21:00:00+0000,2025-02-24T09:30:00-0500,2025-02-24T16:00:00-0500,False,2025,2,Monday,XNYS,America/New_York
2025-02-25,2025-02-25T14:30:00+0000,2025-02-25T21:00:00+0000,2025-02-25T09:30:00-0500,2025-02-25T16:00:00-0500,False,2025,2,Tuesday,XNYS,America/New_York
2025-02-26,2025-02-26T14:30:00+0000,2025-02-26T21:00:00+0000,2025-02-26T09:30:00-0500,2025-02-26T16:00:00-0500,False,2025,2,Wednesday,XNYS,America/New_York
2025-02-27,2025-02-27T14:30:00+0000,2025-02-27T21:00:00+0000,2025-02-27T09:30:00-0500,2025-02-27T16:00:00-0500,False,2025,2,Thursday,XNYS,America/New_York
2025-02-28,2025-02-28T14:30:00+0000,2025-02-28T21:00:00+0000,2025-02-28T09:30:00-0500,2025-02-28T16:00:00-0500,False,2025,2,Friday,XNYS,America/New_York
