session_date,open_utc,close_utc,open_et,close_et,is_early_close,year,month,dow,calendar,timezone
2013-01-02,2013-01-02T14:30:00+0000,2013-01-02T21:00:00+0000,2013-01-02T09:30:00-0500,2013-01-02T16:00:00-0500,False,2013,1,Wednesday,XNYS,America/New_York
2013-01-03,2013-01-03T14:30:00+0000,2013-01-03T21:00:00+0000,2013-01-03T09:30:00-0500,2013-01-03T16:00:00-0500,False,2013,1,Thursday,XNYS,America/New_York
2013-01-04,2013-01-04T14:30:00+0000,2013-01-04T21:00:00+0000,2013-01-04T09:30:00-0500,2013-01-04T16:00:00-0500,False,2013,1,Friday,XNYS,America/New_York
2013-01-07,2013-01-07T14:30:00+0000,2013-01-07T21:00:00+0000,2013-01-07T09:30:00-0500,2013-01-07T16:00:00-0500,False,2013,1,Monday,XNYS,America/New_York
2013-01-08,2013-01-08T14:30:00+0000,2013-01-08T21:00:00+0000,2013-01-08T09:30:00-0500,2013-01-08T16:00:00-0500,False,2013,1,Tuesday,XNYS,America/New_York
2013-01-09,2013-01-09T14:30:00+0000,2013-01-09T21:00:00+0000,2013-01-09T09:30:00-0500,2013-01-09T16:00:00-0500,False,2013,1,Wednesday,XNYS,America/New_York
2013-01-10,2013-01-10T14:30:00+0000,2013-01-10T21:00:00+0000,2013-01-10T09:30:00-0500,2013-01-10T16:00:00-0500,False,2013,1,Thursday,XNYS,America/New_York
2013-01-11,2013-01-11T14:30:00+0000,2013-01-11T21:00:00+0000,2013-01-11T09:30:00-0500,2013-01-11T16:00:00-0500,False,2013,1,Friday,XNYS,America/New_York
2013-01-14,2013-01-14T14:30:00+0000,2013-01-14T21:00:00+0000,2013-01-14T09:30:00-0500,2013-01-14T16:00:00-0500,False,2013,1,Monday,XNYS,America/New_York
2013-01-15,2013-01-15T14:30:00+0000,2013-01-15T21:00:00+0000,2013-01-15T09:30:00-0500,2013-01-15T16:00:00-0500,False,2013,1,Tuesday,XNYS,America/New_York
2013-01-16,2013-01-16T14:30:00+0000,2013-01-16T21:00:00+0000,2013-01-16T09:30:00-0500,2013-01-16T16:00:00-0500,False,2013,1,Wednesday,XNYS,America/New_York
2013-01-17,2013-01-17T14:30:00+0000,2013-01-17T21:00:00+0000,2013-01-17T09:30:00-0500,2013-01-17T16:00:00-0500,False,2013,1,Thursday,XNYS,America/New_York
2013-01-18,2013-01-18T14:30:00+0000,2013-01-18T21:00:00+0000,2013-01-18T09:30:00-0500,2013-01-18T16:00:00-0500,False,2013,1,Friday,XNYS,America/New_York
2013-01-22,2013-01-22T14:30:00+0000,2013-01-22T21:00:00+0000,2013-01-22T09:30:00-0500,2013-01-22T16:00:00-0500,False,2013,1,Tuesday,XNYS,America/New_York
2013-01-23,2013-01-23T14:30:00+0000,2013-01-23T21:00:00+0000,2013-01-23T09:30:00-0500,2013-01-23T16:00:00-0500,False,2013,1,Wednesday,XNYS,America/New_York
2013-01-24,2013-01-24T14:30:00+0000,2013-01-24T21:00:00+0000,2013-01-24T09:30:00-0500,2013-01-24T16:00:00-0500,False,2013,1,Thursday,XNYS,America/New_York
2013-01-25,2013-01-25T14:30:00+0000,2013-01-25T21:00:00+0000,2013-01-25T09:30:00-0500,2013-01-25T16:00:00-0500,False,2013,1,Friday,XNYS,America/New_York
2013-01-28,2013-01-28T14:30:00+0000,2013-01-28T21:00:00+0000,2013-01-28T09:30:00-0500,2013-01-28T16:00:00-0500,False,2013,1,Monday,XNYS,America/New_York
2013-01-29,2013-01-29T14:30:00+0000,2013-01-29T21:00:00+0000,2013-01-29T09:30:00-0500,2013-01-29T16:00:00-0500,False,2013,1,Tuesday,XNYS,America/New_York
2013-01-30,2013-01-30T14:30:00+0000,2013-01-30T21:00:00+0000,2013-01-30T09:30:00-0500,2013-01-30T16:00:00-0500,False,2013,1,Wednesday,XNYS,America/New_York
2013-01-31,2013-01-31T14:30:00+0000,2013-01-31T21:00:00+0000,2013-01-31T09:30:00-0500,2013-01-31T16:00:00-0500,False,2013,1,Thursday,XNYS,America/New_York
2013-02-01,2013-02-01T14:30:00+0000,2013-02-01T21:00:00+0000,2013-02-01T09:30:00-0500,2013-02-01T16:00:00-0500,False,2013,2,Friday,XNYS,America/New_York
2013-02-04,2013-02-04T14:30:00+0000,2013-02-04T21:00:00+0000,2013-02-04T09:30:00-0500,2013-02-04T16:00:00-0500,False,2013,2,Monday,XNYS,America/New_York
2013-02-05,2013-02-05T14:30:00+0000,2013-02-05T21:00:00+0000,2013-02-05T09:30:00-0500,2013-02-05T16:00:00-0500,False,2013,2,Tuesday,XNYS,America/New_York
2013-02-06,2013-02-06T14:30:00+0000,2013-02-06T21:00:00+0000,2013-02-06T09:30:00-0500,2013-02-06T16:00:00-0500,False,2013,2,Wednesday,XNYS,America/New_York
2013-02-07,2013-02-07T14:30:00+0000,2013-02-07T21:00:00+0000,2013-02-07T09:30:00-0500,2013-02-07T16:00:00-0500,False,2013,2,Thursday,XNYS,America/New_York
2013-02-08,2013-02-08T14:30:00+0000,2013-02-08T21:00:00+0000,2013-02-08T09:30:00-0500,2013-02-08T16:00:00-0500,False,2013,2,Friday,XNYS,America/New_York
2013-02-11,2013-02-11T14:30:00+0000,2013-02-11T21:00:00+0000,2013-02-11T09:30:00-0500,2013-02-11T16:00:00-0500,False,2013,2,Monday,XNYS,America/New_York
2013-02-12,2013-02-12T14:30:00+0000,2013-02-12T21:00:00+0000,2013-02-12T09:30:00-0500,2013-02-12T16:00:00-0500,False,2013,2,Tuesday,XNYS,America/New_York
2013-02-13,2013-02-13T14:30:00+0000,2013-02-13T21:00:00+0000,2013-02-13T09:30:00-0500,2013-02-13T16:00:00-0500,False,2013,2,Wednesday,XNYS,America/New_York
2013-02-14,2013-02-14T14:30:00+0000,2013-02-14T21:00:00+0000,2013-02-14T09:30:00-0500,2013-02-14T16:00:00-0500,False,2013,2,Thursday,XNYS,America/New_York
2013-02-15,2013-02-15T14:30:00+0000,2013-02-15T21:00:00+0000,2013-02-15T09:30:00-0500,2013-02-15T16:00:00-0500,False,2013,2,Friday,XNYS,America/New_York
2013-02-19,2013-02-19T14:30:00+0000,2013-02-19T21:00:00+0000,2013-02-19T09:30:00-0500,2013-02-19T16:00:00-0500,False,2013,2,Tuesday,XNYS,America/New_York
2013-02-20,2013-02-20T14:30:00+0000,2013-02-20T21:00:00+0000,2013-02-20T09:30:00-0500,2013-02-20T16:00:00-0500,False,2013,2,Wednesday,XNYS,America/New_York
2013-02-21,2013-02-21T14:30:00+0000,2013-02-21T21:00:00+0000,2013-02-21T09:30:00-0500,2013-02-21T16:00:00-0500,False,2013,2,Thursday,XNYS,America/New_York
2013-02-22,2013-02-22T14:30:00+0000,2013-02-22T21:00:00+0000,2013-02-22T09:30:00-0500,2013-02-22T16:00:00-0500,False,2013,2,Friday,XNYS,America/New_York
2013-02-25,2013-02-25T14:30:00+0000,2013-02-25T21:00:00+0000,2013-02-25T09:30:00-0500,2013-02-25T16:00:00-0500,False,2013,2,Monday,XNYS,America/New_York
2013-02-26,2013-02-26T14:30:00+0000,2013-02-26T21:00:00+0000,2013-02-26T09:30:00-0500,2013-02-26T16:00:00-0500,False,2013,2,Tuesday,XNYS,America/New_York
2013-02-27,2013-02-27T14:30:00+0000,2013-02-27T21:00:00+0000,2013-02-27T09:30:00-0500,2013-02-27T16:00:00-0500,False,2013,2,Wednesday,XNYS,America/New_York
2013-02-28,2013-02-28T14:30:00+0000,2013-02-28T21:00:00+0000,2013-02-28T09:30:00-0500,2013-02-28T16:00:00-0500,False,2013,2,Thursday,XNYS,America/New_York
2013-03-01,2013-03-01T14:30:00+0000,2013-03-01T21:00:00+0000,2013-03-01T09:30:00-0500,2013-03-01T16:00:00-0500,False,2013,3,Friday,XNYS,America/New_York
2013-03-04,2013-03-04T14:30:00+0000,2013-03-04T21:00:00+0000,2013-03-04T09:30:00-0500,2013-03-04T16:00:00-0500,False,2013,3,Monday,XNYS,America/New_York
2013-03-05,2013-03-05T14:30:00+0000,2013-03-05T21:00:00+0000,2013-03-05T09:30:00-0500,2013-03-05T16:00:00-0500,False,2013,3,Tuesday,XNYS,America/New_York
2013-03-06,2013-03-06T14:30:00+0000,2013-03-06T21:00:00+0000,2013-03-06T09:30:00-0500,2013-03-06T16:00:00-0500,False,2013,3,Wednesday,XNYS,America/New_York
2013-03-07,2013-03-07T14:30:00+0000,2013-03-07T21:00:00+0000,2013-03-07T09:30:00-0500,2013-03-07T16:00:00-0500,False,2013,3,Thursday,XNYS,America/New_York
2013-03-08,2013-03-08T14:30:00+0000,2013-03-08T21:00:00+0000,2013-03-08T09:30:00-0500,2013-03-08T16:00:00-0500,False,2013,3,Friday,XNYS,America/New_York
